,Numero,TypeVoie,NbPieces,No_plan,prixm2,lon,lat,score_commerce,score_commerce_lux,periode_construction,Arrondissement,Quartier,score_jardin,score_monument,score_metro
9952,19.0,RUE,1.0,35,7.946,2.299815,48.834399,0.10377358490566038,0.0,3.0,15,57,6.475651714837398,0.2,0.08252757542259229
9953,19.0,RUE,3.0,35,10.521915,2.299815,48.834399,0.10377358490566038,0.0,3.0,15,57,6.475651714837398,0.2,0.08252757542259229
9954,19.0,RUE,4.0,35,12.727848,2.299815,48.834399,0.10377358490566038,0.0,3.0,15,57,6.475651714837398,0.2,0.08252757542259229
9955,19.0,RUE,1.0,35,8.235294,2.299815,48.834399,0.10377358490566038,0.0,3.0,15,57,6.475651714837398,0.2,0.08252757542259229
9956,19.0,RUE,1.0,35,10.0,2.299815,48.834399,0.10377358490566038,0.0,3.0,15,57,6.475651714837398,0.2,0.08252757542259229
9957,19.0,RUE,3.0,35,8.935714,2.299815,48.834399,0.10377358490566038,0.0,3.0,15,57,6.475651714837398,0.2,0.08252757542259229
9958,19.0,RUE,1.0,35,10.151515,2.299815,48.834399,0.10377358490566038,0.0,3.0,15,57,6.475651714837398,0.2,0.08252757542259229
9959,19.0,RUE,1.0,35,8.945945,2.299815,48.834399,0.10377358490566038,0.0,3.0,15,57,6.475651714837398,0.2,0.08252757542259229
9960,19.0,RUE,2.0,35,9.042553,2.299815,48.834399,0.10377358490566038,0.0,3.0,15,57,6.475651714837398,0.2,0.08252757542259229
9961,6.0,RUE,4.0,50,8.37647,2.290622,48.835688,0.05660377358490566,0.0,3.0,15,57,18.529636357730485,0.25,0.09110423978831698
9962,6.0,RUE,4.0,50,9.352941,2.290622,48.835688,0.05660377358490566,0.0,3.0,15,57,18.529636357730485,0.25,0.09110423978831698
9963,6.0,RUE,3.0,50,9.323943,2.290622,48.835688,0.05660377358490566,0.0,3.0,15,57,18.529636357730485,0.25,0.09110423978831698
9964,6.0,RUE,5.0,50,12.610294,2.290622,48.835688,0.05660377358490566,0.0,3.0,15,57,18.529636357730485,0.25,0.09110423978831698
9965,6.0,RUE,1.0,50,9.25,2.290622,48.835688,0.05660377358490566,0.0,3.0,15,57,18.529636357730485,0.25,0.09110423978831698
9966,69.0,RUE,2.0,87,7.297297,2.303623,48.841887,0.24528301886792453,0.3,0.0,15,58,5.466149975278876,0.45,0.07029075128094918
9967,69.0,RUE,3.0,87,10.148515,2.303623,48.841887,0.24528301886792453,0.3,0.0,15,58,5.466149975278876,0.45,0.07029075128094918
9968,69.0,RUE,2.0,87,11.5,2.303623,48.841887,0.24528301886792453,0.3,0.0,15,58,5.466149975278876,0.45,0.07029075128094918
9969,27.0,RUE,4.0,42,8.443181,2.296511,48.831708,0.018867924528301886,0.0,3.0,15,57,13.703535556674561,0.15000000000000002,0.09110423978831698
9970,201.0,RUE,2.0,14,9.893617,2.310612,48.842134,0.12264150943396226,0.16666666666666666,6.0,15,58,1.5600832417516406,0.6129218382352942,0.08786343910118646
9971,201.0,RUE,1.0,14,10.5,2.310612,48.842134,0.12264150943396226,0.16666666666666666,6.0,15,58,1.5600832417516406,0.6129218382352942,0.08786343910118646
9972,35.0,RUE,2.0,59,9.59375,2.30796,48.844062,0.16981132075471697,0.16666666666666666,3.0,15,58,2.447770332909075,0.6000000000000001,0.07029075128094918
9973,26.0,RUE,2.0,39,9.857142,2.308971,48.844564,0.16981132075471697,0.16666666666666666,2.0,15,58,1.768094464499411,0.6129218382352942,0.07794485146214493
9974,26.0,RUE,2.0,39,11.542105,2.308971,48.844564,0.16981132075471697,0.16666666666666666,2.0,15,58,1.768094464499411,0.6129218382352942,0.07794485146214493
9975,26.0,RUE,1.0,39,11.896551,2.308971,48.844564,0.16981132075471697,0.16666666666666666,2.0,15,58,1.768094464499411,0.6129218382352942,0.07794485146214493
9976,12.0,RUE,2.0,105,13.849056,2.321802,48.843385,0.0660377358490566,0.03333333333333333,3.0,15,58,2.140388239132566,0.6629218382352942,0.583827489656418
9977,63.0,RUE,5.0,95,9.146341,2.280631,48.842645,0.25471698113207547,0.26666666666666666,5.0,15,60,4.780470104009946,0.2,0.07198445626431547
9978,63.0,RUE,4.0,95,10.15873,2.280631,48.842645,0.25471698113207547,0.26666666666666666,5.0,15,60,4.780470104009946,0.2,0.07198445626431547
9979,63.0,RUE,3.0,95,9.063508,2.280631,48.842645,0.25471698113207547,0.26666666666666666,5.0,15,60,4.780470104009946,0.2,0.07198445626431547
9980,47.0,RUE,1.0,24,9.192857,2.308464,48.833954,0.1320754716981132,0.1,4.0,15,57,4.657318888058066,0.15000000000000002,0.07483899044245468
9981,47.0,RUE,1.0,24,10.194444,2.308464,48.833954,0.1320754716981132,0.1,4.0,15,57,4.657318888058066,0.15000000000000002,0.07483899044245468
