X,Y,OBJECTID,C_ORD,ARRO,QUA,IRIS,NUM,LET,TYP_VOIE,LIB_VOIE,NIV6,LIBACT,SIT,CODACT,SURF,CC_ID,CC_NIV,TYPE
652910.950073242,6863183.63189697,5347,6495,3,9,751030903,17,,RUE,VERTBOIS,1,Boulangerie - Boulangerie Pâtisserie,A,CA103,1,,,C
652721.203125,6863259.06048584,5411,6562,3,9,751030902,72,,RUE,VERTBOIS,1,Commerce détail de boissons,R,CA111,1,,,C
652865.621704102,6863258.73291016,5459,6612,3,9,751030901,56,,RUE,NOTRE DAME DE NAZARETH,1,Produits alimentaires spécialisés régionaux et étrangers,R,CA114,1,,,C
652818.672302246,6863268.90112305,5467,6621,3,9,751030901,64,,RUE,NOTRE DAME DE NAZARETH,1,Produits alimentaires bio et circuits courts,R,CA115,1,,,C
653134.267883301,6863294.69952393,5551,6712,3,9,751030901,9,,BD,SAINT MARTIN,1,Alimentation générale  <120m²,R,CA301,1,,,C
653057.67388916,6863312.65008545,5561,6722,3,9,751030901,17,,BD,SAINT MARTIN,1,Supérette  classique,R,CA302,1,,,C
652955.125671387,6863336.63830566,5572,6734,3,9,751030901,29,,BD,SAINT MARTIN,1,Alimentation générale  <120m²,R,CA301,1,,,C
653131.519470215,6863198.48309326,5641,6804,3,9,751030902,12,,RUE,NOTRE DAME DE NAZARETH,1,Commerce détail de boissons,R,CA111,1,,,C
653106.400085449,6863203.89672852,5646,6809,3,9,751030902,16,,RUE,NOTRE DAME DE NAZARETH,1,Vente de fruits et légumes,R,CA108,1,,,C
652986.820129395,6863231.203125,5665,6830,3,9,751030902,34,,RUE,NOTRE DAME DE NAZARETH,1,Produits alimentaires spécialisés régionaux et étrangers,R,CA114,1,,,C
652940.481506348,6863227.94311523,5705,6872,3,9,751030902,31,,RUE,NOTRE DAME DE NAZARETH,1,Boucherie - Boucherie-Charcuterie,A,CA109,1,,,C
653171.555480957,6863170.45111084,5718,6887,3,9,751030902,89,,RUE,TURBIGO,1,Commerce détail de boissons,R,CA111,1,,,C
653070.613708496,6863017.51312256,5757,6933,3,9,751030903,183,,RUE,TEMPLE,1,Boulangerie - Boulangerie Pâtisserie,R,CA103,1,,,C
652936.810119629,6863065.2979126,5778,6956,3,9,751030903,60,,RUE,TURBIGO,1,Vente de fruits et légumes,R,CA108,1,,,C
652881.376098633,6863046.74890137,5844,7031,3,9,751030903,56,,RUE,TURBIGO,1,Commerce détail de boissons,R,CA111,1,,,C
652822.542297363,6863009.52032471,5850,7038,3,9,751030903,44,,RUE,REAUMUR,1,Boulangerie - Boulangerie Pâtisserie,A,CA103,1,,,C
652688.16607666,6862912.62091064,5869,7060,3,9,751030905,95,,RUE,BEAUBOURG,1,Traiteur asiatique,R,CA102,1,,,C
652632.764526367,6862963.19372559,5902,7094,3,9,751030905,42,,RUE,TURBIGO,1,Supérette  classique,A,CA302,2,,,C
652747.702087402,6862938.82928467,5920,7115,3,9,751030904,28,,RUE,MAIRE,1,Boucherie - Boucherie-Charcuterie,R,CA109,1,,,C
652814.158508301,6862987.19787598,5922,7117,3,9,751030904,25,,RUE,REAUMUR,1,Commerce détail de boissons,R,CA111,1,,,C
652824.16809082,6862968.1138916,5930,7125,3,9,751030904,9,,RUE,VOLTA,1,Traiteur asiatique,R,CA102,1,,,C
