Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
299;Métro;BOLIVAR;546780;7bis;;;;;Paris;19
1;RER;GARE DU NORD-RER;47417703;B;;;;;Paris;10
4;RER;CHATELET-LES HALLES-RER;33581162;A;B;;;;Paris;1
9;RER;VINCENNES;7932117;A;;;;;Vincennes;
10;RER;NOISY-LE-GRAND-MONT D'EST;7609131;A;;;;;Noisy-le-Grand;
15;RER;LUXEMBOURG;6246164;B;;;;;Paris;5
26;RER;NANTERRE-UNIVERSITE;4140214;A;;;;;Nanterre;
33;RER;PORT ROYAL;3479339;B;;;;;Paris;5
36;RER;NOISIEL;3016034;A;;;;;Noisiel;
59;RER;SCEAUX;732895;B;;;;;sceaux;
6;Métro;BIBLIOTHEQUE;19754334;14;;;;;Paris;13
12;Métro;CHATELET;10766712;1;4;7;11;14;Paris;1
15;Métro;OPERA;10501357;3;7;8;;;Paris;9
18;Métro;PALAIS-ROYAL;9592920;1;7;;;;Paris;1
20;Métro;STRASBOURG-SAINT-DENIS;9524965;4;8;9;;;Paris;2
24;Métro;PORTE DE CLIGNANCOURT;8393535;4;;;;;Paris;18
25;Métro;HAVRE-CAUMARTIN;8277127;3;9;;;;Paris;9
36;Métro;CHARLES DE GAULLE-ETOILE;7296559;1;2;6;;;Paris;8
42;Métro;STALINGRAD;6891050;2;5;7;;;Paris;19
48;Métro;LA CHAPELLE;6534340;2;;;;;Paris;9
53;Métro;LES SABLONS;6314665;1;;;;;Neuilly Sur Seine;
55;Métro;SAINT-MICHEL;6286034;4;;;;;Paris;5
56;Métro;PORTE D'ORLEANS;6259225;4;;;;;Paris;14
57;Métro;SAINT-MANDE-TOURELLE;6245865;1;;;;;Saint Mandé;
59;Métro;PYRAMIDES;6069724;7;14;;;;Paris;1
61;Métro;MARCADET-POISSONNIERS;5973655;4;12;;;;Paris;18
62;Métro;MIROMESNIL;5908201;9;13;;;;Paris;8
64;Métro;JAURES;5836196;2;5;7bis;;;Paris;19
71;Métro;PIGALLE;5599495;2;12;;;;Paris;18
73;Métro;MARCEL SEMBAT;5521946;9;;;;;Boulogne Billancourt;
75;Métro;REAUMUR-SEBASTOPOL;5291106;3;4;;;;Paris;3
78;Métro;PONT DE LEVALLOIS-BECON;5068483;3;;;;;Levallois-Perret;
89;Métro;ALESIA;4764374;4;;;;;Paris;14
98;Métro;PASTEUR;4493457;6;12;;;;Paris;9
103;Métro;ALMA-MARCEAU;4382709;9;;;;;Paris;8
121;Métro;DENFERT-ROCHEREAU;3911586;4;6;;;;Paris;14
124;Métro;LES COURTILLES;3886523;13;;;;;Asnières sur Seine;
125;Métro;CHATEAU D'EAU;3878260;4;;;;;Paris;10
134;Métro;CHARONNE;3652338;9;;;;;Paris;12
135;Métro;DUROC;3596220;10;13;;;;Paris;7
137;Métro;CRETEIL-UNIVERSITE;3536972;8;;;;;Créteil;
140;Métro;MALAKOFF-PLATEAU DE VANVES;3454231;13;;;;;Malakoff;
144;Métro;CORENTIN CELTON;3438335;12;;;;;Issy Les Moulineaux;
146;Métro;SENTIER;3420249;3;;;;;Paris;3
148;Métro;BOURSE;3386481;3;;;;;Paris;2
154;Métro;SAINT-PLACIDE;3304968;4;;;;;Paris;6
156;Métro;RAMBUTEAU;3219510;11;;;;;Paris;3
159;Métro;PORTE DE CHAMPERRET;3189251;3;;;;;Paris;17
173;Métro;ARGENTINE;3026210;1;;;;;Paris;17
174;Métro;RUE DE LA POMPE;3004505;9;;;;;Paris;16
198;Métro;LOUVRE;2633369;1;;;;;Paris;1
219;Métro;PORTE D'ITALIE;2363639;7;;;;;Paris;13
226;Métro;RUE DU BAC;2304665;12;;;;;Paris;7
227;Métro;LOURMEL;2301922;8;;;;;Paris;15
237;Métro;LA TOUR-MAUBOURG;2139593;8;;;;;Paris;7
239;Métro;PORTE DE CHARENTON;2105924;8;;;;;Paris;12
243;Métro;MALAKOFF-RUE ETIENNE DOLET;2048140;13;;;;;Malakoff;
251;Métro;BOISSIERE;1919511;6;;;;;Paris;16
253;Métro;PORTE D'IVRY;1901960;7;;;;;Paris;13
259;Métro;MAISON BLANCHE;1803381;7;;;;;Paris;13
267;Métro;SAINT-FRANCOIS-XAVIER;1701996;13;;;;;Paris;7
271;Métro;CARDINAL LEMOINE;1663781;10;;;;;Paris;5
274;Métro;FILLES DU CALVAIRE;1606192;8;;;;;Paris;3
295;Métro;SAINT-FARGEAU;716699;3bis;;;;;Paris;8
302;Métro;PELLEPORT;329597;3bis;;;;;Paris;20
303;Métro;EGLISE D'AUTEUIL;169939;10;;;;;Paris;16
11;RER;CITE UNIVERSITAIRE;7531642;B;;;;;Paris;14
16;RER;SAINT-MICHEL-NOTRE-DAME;6226365;B;;;;;Paris;
18;RER;NEUILLY-PLAISANCE;5924171;A;;;;;Neuilly-sur-Seine;
29;RER;LAPLACE;3707718;B;;;;;Arcueil;
34;RER;BUSSY-SAINT-GEORGES;3298143;A;;;;;Bussy-Saint-Georges;
35;RER;LA CROIX DE BERNY;3161602;B;;;;;Antony;
43;RER;GENTILLY;2415990;B;;;;;Gentilly;
46;RER;LE PARC DE SAINT-MAUR;2216669;A;;;;;Saint-Maur des Fossés;
56;RER;SAINT-REMY-LES-CHEVREUSE;899484;B;;;;;St-Rémy-Lès-Chevreuse;
64;RER;PARC DE SCEAUX;574699;B;;;;;Antony;
65;RER;COURCELLE-SUR-YVETTE;566162;B;;;;;Gif sur Yvette;
