,Numero,TypeVoie,NbPieces,No_plan,prixm2,lon,lat,score_commerce,score_commerce_lux
28203,4.0,RUE,1.0,2,5.555555,2.403563,48.874521,0.08490566037735849,0.0
28204,82.0,RUE,3.0,52,8.028985,2.401122,48.858527,0.07547169811320754,0.06666666666666667
28205,112.0,RUE,2.0,26,8.157894,2.404792,48.856703,0.05660377358490566,0.0
28206,112.0,RUE,2.0,26,9.131578,2.404792,48.856703,0.05660377358490566,0.0
28207,120.0,RUE,2.0,41,14.418604,2.407799,48.852909,0.1320754716981132,0.03333333333333333
28208,96.0,BD,1.0,23,8.181818,2.372211,48.876634,0.03773584905660377,0.03333333333333333
28209,7.0,RUE,2.0,46,12.536231,2.382911,48.883317,0.1792452830188679,0.03333333333333333
28210,41.0,RUE,2.0,93,8.139534,2.397297,48.86871,0.09433962264150944,0.0
28211,13.0,RUE,2.0,75,10.277777,2.390579,48.877125,0.05660377358490566,0.0
28212,88.0,RUE,3.0,16,9.693877,2.398252,48.854896,0.08490566037735849,0.03333333333333333
28213,126.0,BD,3.0,1,7.386842,2.394463,48.886724,0.04716981132075472,0.03333333333333333
28214,27.0,AV,3.0,27,10.108695,2.382243,48.875139,0.14150943396226415,0.16666666666666666
28215,93.0,RUE,1.0,80,8.0,2.401509,48.858934,0.07547169811320754,0.06666666666666667
28216,93.0,RUE,1.0,80,11.12,2.401509,48.858934,0.07547169811320754,0.06666666666666667
28217,93.0,RUE,2.0,80,9.288888,2.401509,48.858934,0.07547169811320754,0.06666666666666667
28218,93.0,RUE,1.0,80,7.791666,2.401509,48.858934,0.07547169811320754,0.06666666666666667
28219,41.0,RUE,2.0,35,13.782608,2.392316,48.872523,0.0660377358490566,0.03333333333333333
28220,41.0,RUE,1.0,35,8.888888,2.392316,48.872523,0.0660377358490566,0.03333333333333333
28221,41.0,RUE,1.0,35,8.303571,2.392316,48.872523,0.0660377358490566,0.03333333333333333
28222,57.0,RUE,3.0,22,9.039215,2.396309,48.855891,0.08490566037735849,0.03333333333333333
28223,57.0,RUE,3.0,22,9.741228,2.396309,48.855891,0.08490566037735849,0.03333333333333333
28224,104.0,RUE,3.0,4,8.636363,2.400957,48.868988,0.16037735849056603,0.13333333333333333
28225,104.0,RUE,3.0,4,8.90909,2.400957,48.868988,0.16037735849056603,0.13333333333333333
28226,76.0,RUE,1.0,10,11.086956,2.384004,48.873527,1.0,0.8
28227,76.0,RUE,1.0,10,11.904761,2.384004,48.873527,1.0,0.8
28228,12.0,RUE,2.0,3,8.033333,2.371085,48.878668,0.1320754716981132,0.06666666666666667
28229,167.0,AV,1.0,37,10.294117,2.387556,48.887493,0.27358490566037735,0.1
28230,167.0,AV,1.0,37,10.714285,2.387556,48.887493,0.27358490566037735,0.1
28231,7.0,RUE,4.0,25,10.005555,2.399875,48.850615,0.10377358490566038,0.2
28232,17.0,RUE,4.0,37,10.301204,2.404693,48.862871,0.18867924528301888,0.06666666666666667
28233,7.0,RUE,3.0,34,8.070175,2.403729,48.863095,0.0660377358490566,0.0
28234,39.0,RUE,4.0,71,7.809523,2.400724,48.862399,0.02830188679245283,0.0
28235,59.0,RUE,4.0,1,13.933333,2.380284,48.881259,0.009433962264150943,0.0
28236,115.0,RUE,2.0,20,8.0,2.404668,48.85638,0.05660377358490566,0.0
28237,62.0,AV,2.0,41,9.16,2.377185,48.876552,0.08490566037735849,0.03333333333333333
28238,116.0,AV,4.0,11,10.903658,2.404684,48.872077,0.02830188679245283,0.0
28239,116.0,AV,2.0,11,24.836111,2.404684,48.872077,0.02830188679245283,0.0
28240,90.0,RUE,3.0,1,7.948717,2.389691,48.873982,0.0660377358490566,0.03333333333333333
28241,7.0,QUAI,1.0,36,7.1875,2.381617,48.889812,0.009433962264150943,0.0
28242,7.0,QUAI,3.0,36,9.047619,2.381617,48.889812,0.009433962264150943,0.0
28243,42.0,RUE,3.0,52,9.711111,2.40252,48.856466,0.05660377358490566,0.0
28244,21.0,PAS,3.0,84,7.974683,2.40159,48.872638,0.09433962264150944,0.0
28245,8.0,RUE,4.0,6,8.138297,2.399455,48.851427,0.20754716981132076,0.06666666666666667
28246,2.0,RUE,3.0,6,9.791666,2.370877,48.878448,0.1320754716981132,0.06666666666666667
28247,2.0,RUE,4.0,6,10.6275,2.370877,48.878448,0.1320754716981132,0.06666666666666667
28248,8.0,VLA,3.0,11,8.298507,2.407584,48.869732,0.03773584905660377,0.0
28249,39.0,RUE,3.0,124,5.092592,2.40603,48.868711,0.03773584905660377,0.0
28250,35.0,AV,3.0,51,9.707692,2.381549,48.875684,0.14150943396226415,0.16666666666666666
28251,72.0,RUE,2.0,8,9.3,2.38375,48.873495,1.0,0.8
28252,43.0,RUE,1.0,14,8.68421,2.380552,48.892675,0.11320754716981132,0.0
28253,247.0,RUE,2.0,101,11.341463,2.397683,48.865704,0.09433962264150944,0.03333333333333333
28254,10.0,RUE,2.0,34,6.615384,2.389951,48.86807,0.08490566037735849,0.06666666666666667
28255,10.0,RUE,2.0,34,8.8,2.389951,48.86807,0.08490566037735849,0.06666666666666667
28256,74.0,RUE,2.0,53,7.6,2.38243,48.872522,1.0,0.8
28257,5.0,RUE,3.0,11,8.905531,2.404403,48.872972,0.02830188679245283,0.0
28258,5.0,RUE,2.0,11,11.879514,2.404403,48.872972,0.02830188679245283,0.0
28259,6.0,RUE,3.0,9,5.454545,2.398133,48.888138,0.04716981132075472,0.03333333333333333
28260,29.0,RUE,4.0,41,8.433734,2.390634,48.877691,0.05660377358490566,0.0
28261,57.0,RUE,2.0,18,7.65625,2.402702,48.852185,0.20754716981132076,0.06666666666666667
28262,57.0,RUE,2.0,18,9.63125,2.402702,48.852185,0.20754716981132076,0.06666666666666667
28263,100.0,AV,3.0,2,9.134615,2.377396,48.890811,0.2358490566037736,0.06666666666666667
28264,5.0,RUE,2.0,7,6.2,2.382865,48.873019,1.0,0.8
28265,1.0,SEN,2.0,64,6.316569,2.401618,48.855603,0.05660377358490566,0.0
28266,144.0,BD,2.0,4,8.148148,2.395023,48.856258,0.08490566037735849,0.03333333333333333
28267,174.0,BD,2.0,3,8.5,2.393424,48.857352,0.1509433962264151,0.1
28268,9.0,RUE,2.0,107,7.204545,2.388022,48.876135,0.46226415094339623,0.5666666666666667
28269,32.0,RUE,1.0,6,11.604999,2.392266,48.868633,0.07547169811320754,0.03333333333333333
28270,328.0,RUE,3.0,13,12.95,2.390526,48.873145,0.0660377358490566,0.03333333333333333
28271,1.0,RUE,4.0,36,8.400602,2.403498,48.868465,0.16037735849056603,0.13333333333333333
28272,1.0,RUE,3.0,36,8.115942,2.403498,48.868465,0.16037735849056603,0.13333333333333333
28273,4.0,RUE,1.0,43,7.482058,2.374214,48.881176,0.3584905660377358,0.26666666666666666
28274,4.0,RUE,1.0,43,9.78423,2.374214,48.881176,0.3584905660377358,0.26666666666666666
28275,4.0,RUE,2.0,43,8.815236,2.374214,48.881176,0.3584905660377358,0.26666666666666666
28276,4.0,RUE,1.0,43,19.704647,2.374214,48.881176,0.3584905660377358,0.26666666666666666
28277,4.0,RUE,2.0,43,8.32971,2.374214,48.881176,0.3584905660377358,0.26666666666666666
28278,4.0,RUE,1.0,43,18.619352,2.374214,48.881176,0.3584905660377358,0.26666666666666666
28279,4.0,RUE,1.0,43,7.228411,2.374214,48.881176,0.3584905660377358,0.26666666666666666
28280,4.0,RUE,1.0,43,9.452538,2.374214,48.881176,0.3584905660377358,0.26666666666666666
28281,4.0,RUE,2.0,43,7.903212,2.374214,48.881176,0.3584905660377358,0.26666666666666666
